SX;SY
-739951.9935;-1045726.528
-729312.0863;-1078138.323
-770206.9955;-1054275.903
-727347.2897;-1035152.169
-675649.7158;-1073549.849
-750258.2491;-1055074.046
-712369.2584;-1049566.899
-760917.8218;-1075963.125
-782199.0363;-1066166.776
-766468.8431;-1034881.462
-692208.6017;-1056325.443
-746096.2696;-1021998.835
-693598.3774;-1075537.852
-710478.8553;-1034312.767
-729839.2899;-1010822.456
-705932.0295;-1014730.574
-696224.0403;-999287.0378
-732899.955;-1024164.466
-696558.5967;-1033910.989
-683709.7167;-1039219.207
-780790.446;-1087615.037
-792274.353;-1034924.045
-722792.4217;-1061196.483
-752392.2905;-1094244.088
-763724.8561;-1020035.329
-708527.461;-1094509.894
-732826.6017;-1096677.908
-791761.8114;-1109429.788
-755541.6412;-1161076.951
-779164.4644;-1186441.52
-687259.4306;-1165318.143
-712363.0388;-1154098.961
-755807.7005;-1197266.465
-758790.4288;-1111576.574
-773249.4446;-1121434.16
-791115.5581;-1162706.656
-734431.3204;-1139530.486
-794840.5503;-1131056.853
-734438.9284;-1118999.587
-741382.9539;-1184694.172
-729438.7646;-1170080.676
-754589.9637;-1139601.676
-809645.3611;-1152272.06
-778479.8933;-1143818.219
-810880.1892;-1088709.516
-863371.5041;-1096365.097
-810123.134;-1115752.746
-855794.4686;-1086847.92
-836549.4758;-1113310.87
-820448.3308;-1044972.989
-808226.2393;-1100679.466
-833025.5932;-1060081.159
-819208.4343;-1073157.119
-828573.0601;-1088421.729
-800430.0966;-1067093.135
-840016.6988;-1080616.431
-851562.8924;-1061618.944
-823850.2897;-1134843.258
-871988.6698;-1060181.339
-896966.8438;-1003327.246
-884282.8399;-1018361.041
-840900.8054;-1018307.778
-870676.747;-997508.8532
-865294.8008;-1036858.656
-845417.2585;-997904.0758
-865772.9821;-1016452.462
-779207.4042;-987035.2783
-741438.4602;-964972.1387
-810176.8882;-989087.1588
-823512.8952;-998309.6493
-746711.6573;-991636.335
-795977.3821;-976808.7255
-781222.3352;-1008057.538
-766773.43;-995766.2907
-790641.9295;-991414.9146
-813837.9044;-1021127.186
-752252.8856;-1006189.668
-728319.2291;-945884.9911
-778430.5543;-974465.0355
-760532.6608;-973402.8873
-721205.2254;-956941.1592
-799047.6077;-1009854.762
-719916.7298;-985513.6974
-679798.3656;-957719.7695
-680014.7745;-976891.2913
-658257.112;-991302.25
-695297.0384;-973855.8511
-720343.302;-968417.5866
-668289.1634;-996049.3976
-668263.2795;-976422.7959
-683378.8278;-995165.6974
-675409.2331;-986922.6093
-641436.7739;-1016852.381
-654514.885;-1022968.554
-646854.5053;-1040304.27
-631731.1732;-1026973.308
-673940.3138;-1016447.427
-658390.4907;-1008880.394
-664449.0868;-1034741.964
-631700.3011;-1000851.065
-647557.9516;-993035.0236
-639786.5014;-1091813.705
-630969.6575;-1058572.874
-645782.9137;-1077862.417
-647555.2695;-1057879.783
-664857.1514;-1059430.22
-667558.2588;-1104663.588
-687813.5393;-1109890.727
-657774.8723;-1093323.436
-670137.2851;-1132546.53
-666003.2758;-1169492.381
-710378.7237;-1114566.217
-699573.9342;-1127220.85
-683353.4767;-1094948.593
-679352.4952;-1153030.263
-648529.2926;-1155643.359
-642982.3405;-1114161.522
